vessel_id,voyage_id,timestamp,speed_knots,course_deg,heading_deg,sin_course,cos_course,latitude,longitude,sin_lat,cos_lat,sin_lon,cos_lon,month,day_of_year,hour,sin_day_of_year,cos_day_of_year,sic,sic_percent,is_ice_covered,iceberg_distance_km,has_iceberg_within_50km,has_iceberg_within_15km,bathymetry_depth_m,is_shallow,coastline_distance_km,is_on_land,ocean_current_speed_ms,ocean_current_u_ms,ocean_current_v_ms,sea_surface_temp_c,wind_speed_ms,air_temp_c,target_risk_cost,target_risk_class,target_safe_movement,target_speed_efficiency,scaled_speed_knots,scaled_course_deg,scaled_heading_deg,scaled_sin_course,scaled_cos_course,scaled_latitude,scaled_longitude,scaled_sin_lat,scaled_cos_lat,scaled_sin_lon,scaled_cos_lon,scaled_month,scaled_day_of_year,scaled_hour,scaled_sin_day_of_year,scaled_cos_day_of_year,scaled_sic,scaled_sic_percent,scaled_is_ice_covered,scaled_iceberg_distance_km,scaled_has_iceberg_within_50km,scaled_has_iceberg_within_15km,scaled_bathymetry_depth_m,scaled_is_shallow,scaled_coastline_distance_km,scaled_is_on_land,scaled_ocean_current_speed_ms,scaled_ocean_current_u_ms,scaled_ocean_current_v_ms,scaled_sea_surface_temp_c,scaled_wind_speed_ms,scaled_air_temp_c
200809020,200809020_voyage_01,2008-11-23T10:40:50,9.9,177.8,177.8,0.03838780908751989,-0.9992629164106211,-42.9394,147.3764,-0.6812244482195172,0.7320746212975932,0.5391177435008128,-0.8422304070992639,11.0,328.0,10.0,-0.5978291414589544,0.8016235510652425,0.0,0.0,0.0,200.0,0.0,0.0,3500.0,0.0,2669.6,0.0,0.465,0.329,0.329,281.12,0.0,0.0,0.0,0.0,1.0,0.7071,0.3093053671048675,0.1347552624951353,0.16679521378474302,0.13385784057215572,-1.4329520748678943,2.0264240319050684,1.7471385397784436,2.1927028854153927,1.9406745515735206,-2.4699352855275687,-1.558394274756193,0.6092950544651746,0.6601017598181733,-0.21984540319522478,-1.242027103858763,0.3673020367979224,-0.9689668416765959,-0.9689668416765961,-1.004160683675752,0.0,0.0,0.0,0.0,0.0,2.0940381845889804,0.0,1.094197399060992,1.097341665403045,1.097341665403045,0.43611532664476454,0.0,0.0
200809020,200809020_voyage_01,2008-11-23T11:00:00,11.1,176.0,176.0,0.06975647374412552,-0.9975640502598242,-42.9964,147.3802,-0.6819524064079943,0.7313965513962626,0.5390618834792272,-0.8422661608896728,11.0,328.0,11.0,-0.5978291414589544,0.8016235510652425,0.0,0.0,0.0,200.0,0.0,0.0,3500.0,0.0,2663.3,0.0,0.465,0.329,0.329,281.12,0.0,0.0,0.0,0.0,1.0,0.7929,0.5328327430592875,0.11658829679823067,0.14870620308159363,0.17655217426804234,-1.4304350319665953,2.0193086136301757,1.7473151581979525,2.1832739499227314,1.9348230498504788,-2.470344667472574,-1.5585000359230687,0.6092950544651746,0.6601017598181733,-0.07510016980141784,-1.242027103858763,0.3673020367979224,-0.9689668416765959,-0.9689668416765961,-1.004160683675752,0.0,0.0,0.0,0.0,0.0,2.0867830479810263,0.0,1.094197399060992,1.097341665403045,1.097341665403045,0.43611532664476454,0.0,0.0
200809020,200809020_voyage_01,2008-11-23T11:20:00,12.0,177.2,177.2,0.04884976979561345,-0.998806137341434,-43.06,147.3874,-0.6827638577805029,0.7306391137276222,0.5389560369359067,-0.8423338947533463,11.0,328.0,11.0,-0.5978291414589544,0.8016235510652425,0.0,0.0,0.0,200.0,0.0,0.0,3500.0,0.0,2656.3,0.0,0.465,0.329,0.329,281.12,0.0,0.0,0.0,0.0,1.0,0.8571,0.7004782750251027,0.12869960726283355,0.1607655435503597,0.1480970964178948,-1.4322753102428414,2.0113693048181904,1.7476498036243902,2.172763562419815,1.9282866325659946,-2.471120386180636,-1.5587003954479517,0.6092950544651746,0.6601017598181733,-0.07510016980141784,-1.242027103858763,0.3673020367979224,-0.9689668416765959,-0.9689668416765961,-1.004160683675752,0.0,0.0,0.0,0.0,0.0,2.0787217850832986,0.0,1.094197399060992,1.097341665403045,1.097341665403045,0.43611532664476454,0.0,0.0
200809020,200809020_voyage_01,2008-11-23T11:40:00,11.6,155.9,155.9,0.40833046038138504,-0.9128341772330427,-43.1205,147.4221,-0.683534976524337,0.7299177596605483,0.538445796080817,-0.8426601477955957,11.0,328.0,11.0,-0.5978291414589544,0.8016235510652425,0.0,0.0,0.0,200.0,0.0,0.0,3500.0,0.0,2649.9,0.0,0.465,0.329,0.329,281.12,0.0,0.0,0.0,0.0,1.0,0.8286,0.6259691497069626,-0.08627615348386969,-0.05328774977023997,0.637368435479016,-1.3048991118295115,2.00381697489484,1.7492626086656904,2.1627755864510227,1.922061603910212,-2.4748597938598444,-1.5596654652223836,0.6092950544651746,0.6601017598181733,-0.07510016980141784,-1.242027103858763,0.3673020367979224,-0.9689668416765959,-0.9689668416765961,-1.004160683675752,0.0,0.0,0.0,0.0,0.0,2.071351487576805,0.0,1.094197399060992,1.097341665403045,1.097341665403045,0.43611532664476454,0.0,0.0
200809020,200809020_voyage_01,2008-11-23T12:00:00,11.3,157.0,157.0,0.39073112848927377,-0.9205048534524404,-43.1799,147.4557,-0.6842913334667331,0.7292087293377117,0.5379515418029241,-0.8429757639884179,11.0,328.0,12.0,-0.5978291414589544,0.8016235510652425,0.0,0.0,0.0,200.0,0.0,0.0,3500.0,0.0,2643.7,0.0,0.465,0.329,0.329,281.12,0.0,0.0,0.0,0.0,1.0,0.8071,0.5700873057183578,-0.07517411889131699,-0.04223335434053769,0.6134148577015753,-1.3162639984140974,1.9964019600610046,1.750824287322397,2.1529788138723682,1.9159429247775364,-2.47848204053766,-1.5605990707633888,0.6092950544651746,0.6601017598181733,0.06964506359238909,-1.242027103858763,0.3673020367979224,-0.9689668416765959,-0.9689668416765961,-1.004160683675752,0.0,0.0,0.0,0.0,0.0,2.0642115118673887,0.0,1.094197399060992,1.097341665403045,1.097341665403045,0.43611532664476454,0.0,0.0
200809020,200809020_voyage_01,2008-11-23T12:20:00,11.2,156.1,156.1,0.4051415867798629,-0.9142539552342636,-43.2385,147.4906,-0.6850367831024139,0.7285084802503649,0.5374379687167848,-0.8433032845789089,11.0,328.0,12.0,-0.5978291414589544,0.8016235510652425,0.0,0.0,0.0,200.0,0.0,0.0,3500.0,0.0,2637.5,0.0,0.465,0.329,0.329,281.12,0.0,0.0,0.0,0.0,1.0,0.8,0.5514600243888225,-0.0842576017397693,-0.05127785969211238,0.6330282177761652,-1.3070026572664002,1.9890868107468171,1.7524463880699874,2.143323319038844,1.9099000245792996,-2.4822458691746414,-1.5615678899970968,0.6092950544651746,0.6601017598181733,0.06964506359238909,-1.242027103858763,0.3673020367979224,-0.9689668416765959,-0.9689668416765961,-1.004160683675752,0.0,0.0,0.0,0.0,0.0,2.0570715361579732,0.0,1.094197399060992,1.097341665403045,1.097341665403045,0.43611532664476454,0.0,0.0
200809020,200809020_voyage_01,2008-11-23T12:40:00,11.8,202.8,202.8,-0.38751558645210293,-0.9218631515885005,-43.2974,147.4766,-0.6857853269411129,0.7278038783575358,0.5376440105355865,-0.8431719385363878,11.0,328.0,12.0,-0.5978291414589544,0.8016235510652425,0.0,0.0,0.0,200.0,0.0,0.0,3500.0,0.0,2630.8,0.0,0.465,0.329,0.329,281.12,0.0,0.0,0.0,0.0,1.0,0.8429,0.6632237123660328,0.387074230507698,0.4180314735507053,-0.4458181478843922,-1.3182764551809911,1.9817342118627617,1.7517956886296928,2.133627746298206,1.9038195612202018,-2.48073584826632,-1.5611793630587596,0.6092950544651746,0.6601017598181733,0.06964506359238909,-1.242027103858763,0.3673020367979224,-0.9689668416765959,-0.9689668416765961,-1.004160683675752,0.0,0.0,0.0,0.0,0.0,2.049355755955863,0.0,1.094197399060992,1.097341665403045,1.097341665403045,0.43611532664476454,0.0,0.0
200809020,200809020_voyage_01,2008-11-23T13:00:00,11.7,198.4,198.4,-0.31564903694710233,-0.9488760116444965,-43.3584,147.446,-0.6865597951454594,0.727073344092482,0.5380942473081884,-0.8428846783598775,11.0,328.0,13.0,-0.5978291414589544,0.8016235510652425,0.0,0.0,0.0,200.0,0.0,0.0,3500.0,0.0,2623.8,0.0,0.465,0.329,0.329,281.12,0.0,0.0,0.0,0.0,1.0,0.8357,0.6445964310364976,0.3426660921374869,0.3738138918318959,-0.3480041516646861,-1.358298753356652,1.974119465989631,1.7503734455673354,2.123596386179602,1.8975153107257987,-2.477436193156119,-1.5603296357678305,0.6092950544651746,0.6601017598181733,0.21439029698619602,-1.242027103858763,0.3673020367979224,-0.9689668416765959,-0.9689668416765961,-1.004160683675752,0.0,0.0,0.0,0.0,0.0,2.0412944930581354,0.0,1.094197399060992,1.097341665403045,1.097341665403045,0.43611532664476454,0.0,0.0
200809020,200809020_voyage_01,2008-11-23T13:20:00,11.4,199.6,199.6,-0.3354515697502549,-0.9420574527872968,-43.4196,147.4163,-0.6873360205547503,0.7263395864524801,0.5385310950473706,-0.8426056370966669,11.0,328.0,13.0,-0.5978291414589544,0.8016235510652425,0.0,0.0,0.0,200.0,0.0,0.0,3500.0,0.0,2616.8,0.0,0.465,0.329,0.329,281.12,0.0,0.0,0.0,0.0,1.0,0.8143,0.5887145870478927,0.3547774026020898,0.38587323230066195,-0.374956396931636,-1.3481963652664812,1.966479753736589,1.748993033183283,2.113542265726228,1.8911832436537444,-2.4742346624001086,-1.559504220356875,0.6092950544651746,0.6601017598181733,0.21439029698619602,-1.242027103858763,0.3673020367979224,-0.9689668416765959,-0.9689668416765961,-1.004160683675752,0.0,0.0,0.0,0.0,0.0,2.033233230160408,0.0,1.094197399060992,1.097341665403045,1.097341665403045,0.43611532664476454,0.0,0.0
200809020,200809020_voyage_01,2008-11-23T13:40:00,11.0,200.2,200.2,-0.34529819899853437,-0.938493022759556,-43.4793,147.3855,-0.6880924652341032,0.7256230145799226,0.5389839694893078,-0.8423160218312061,11.0,328.0,13.0,-0.5978291414589544,0.8016235510652425,0.0,0.0,0.0,200.0,0.0,0.0,3500.0,0.0,2609.9,0.0,0.465,0.329,0.329,281.12,0.0,0.0,0.0,0.0,1.0,0.7857,0.5142054617297526,0.36083305783439124,0.391902902535045,-0.3883581556455567,-1.3429152998368747,1.959027289332886,1.7475614944146356,2.1037443567277636,1.8849994836332429,-2.4709156765740916,-1.5586475266170001,0.6092950544651746,0.6601017598181733,0.21439029698619602,-1.242027103858763,0.3673020367979224,-0.9689668416765959,-0.9689668416765961,-1.004160683675752,0.0,0.0,0.0,0.0,0.0,2.0252871281612195,0.0,1.094197399060992,1.097341665403045,1.097341665403045,0.43611532664476454,0.0,0.0
